ASSESSID,TSYEAR,PT_AVAIL,SSB,R,LOCATION,TOTAL,F,CATCH_LANDINGS
NAFO-SC-COD3NO-1953-2007-BAUM,1991,6,29372,605,Southern Grand Banks,38308,0.876,29453
NAFO-SC-COD3NO-1953-2007-BAUM,1992,6,13418,392,Southern Grand Banks,20599,0.605,12752
NAFO-SC-COD3NO-1953-2007-BAUM,1993,6,6429,745,Southern Grand Banks,13633,0.737,10646
NAFO-SC-COD3NO-1953-2007-BAUM,1994,6,4097,1038,Southern Grand Banks,8075,0.28,2702
NAFO-SC-COD3NO-1953-2007-BAUM,1995,6,5260,369,Southern Grand Banks,6066,0.018,172
NAFO-SC-COD3NO-1953-2007-BAUM,1996,6,7189,2222,Southern Grand Banks,7696,0.02,174
NAFO-SC-COD3NO-1953-2007-BAUM,1997,6,7595,4634,Southern Grand Banks,8378,0.045,383
NAFO-SC-COD3NO-1953-2007-BAUM,1998,6,7715,4451,Southern Grand Banks,8494,0.051,547
NAFO-SC-COD3NO-1953-2007-BAUM,1999,6,7724,1699,Southern Grand Banks,9160,0.081,919
NAFO-SC-COD3NO-1953-2007-BAUM,2000,6,6822,713,Southern Grand Banks,10188,0.124,1050
NAFO-SC-COD3NO-1953-2007-BAUM,2001,6,7122,543,Southern Grand Banks,12831,0.141,1310
NAFO-SC-COD3NO-1953-2007-BAUM,2002,6,7168,1271,Southern Grand Banks,12668,0.168,2194
NAFO-SC-COD3NO-1953-2007-BAUM,2003,6,9021,2410,Southern Grand Banks,10984,0.415,4870
NAFO-SC-COD3NO-1953-2007-BAUM,2004,6,6724,1309,Southern Grand Banks,7250,0.107,934
DFO-SG-COD4TVn-1965-2009-RICARD,1971,11,150833,50117,Southern Gulf of St Lawrence,202436,0.47,57931
DFO-SG-COD4TVn-1965-2009-RICARD,1972,11,138194,143074,Southern Gulf of St Lawrence,183675,0.56,69317
DFO-SG-COD4TVn-1965-2009-RICARD,1973,11,112916,210109,Southern Gulf of St Lawrence,144578,0.53,51943
DFO-SG-COD4TVn-1965-2009-RICARD,1974,11,92378,222374,Southern Gulf of St Lawrence,130039,0.64,50579
DFO-SG-COD4TVn-1965-2009-RICARD,1975,11,81130,182439,Southern Gulf of St Lawrence,114791,0.74,43266
DFO-SG-COD4TVn-1965-2009-RICARD,1976,11,81040,199970,Southern Gulf of St Lawrence,124282,0.57,37343
DFO-SG-COD4TVn-1965-2009-RICARD,1977,11,98861,165026,Southern Gulf of St Lawrence,182160,0.31,26884
DFO-SG-COD4TVn-1965-2009-RICARD,1978,11,172768,344463,Southern Gulf of St Lawrence,301981,0.38,39020
DFO-SG-COD4TVn-1965-2009-RICARD,1979,11,247668,452876,Southern Gulf of St Lawrence,365379,0.47,57696
DFO-SG-COD4TVn-1965-2009-RICARD,1980,11,294663,267315,Southern Gulf of St Lawrence,417626,0.32,57226
DFO-SG-COD4TVn-1965-2009-RICARD,1981,11,309100,267271,Southern Gulf of St Lawrence,417299,0.33,67147
DFO-SG-COD4TVn-1965-2009-RICARD,1982,11,305263,239707,Southern Gulf of St Lawrence,440396,0.31,61669
DFO-SG-COD4TVn-1965-2009-RICARD,1983,11,304104,203111,Southern Gulf of St Lawrence,468158,0.38,63990
DFO-SG-COD4TVn-1965-2009-RICARD,1984,11,304531,140406,Southern Gulf of St Lawrence,454723,0.37,57564
DFO-SG-COD4TVn-1965-2009-RICARD,1985,11,347171,124930,Southern Gulf of St Lawrence,501898,0.34,63973
DFO-SG-COD4TVn-1965-2009-RICARD,1986,11,375498,177556,Southern Gulf of St Lawrence,510714,0.21,68682
DFO-SG-COD4TVn-1965-2009-RICARD,1987,11,351618,162783,Southern Gulf of St Lawrence,454151,0.23,54592
DFO-SG-COD4TVn-1965-2009-RICARD,1988,11,276318,71407,Southern Gulf of St Lawrence,355376,0.31,55719
DFO-SG-COD4TVn-1965-2009-RICARD,1989,11,212461,75230,Southern Gulf of St Lawrence,273118,0.46,57269
DFO-SG-COD4TVn-1965-2009-RICARD,1990,11,155190,68499,Southern Gulf of St Lawrence,229747,0.68,57877
